product_feature_value_id,feature_value_id
fcab95ee-dd26-429e-8b2e-f209c30164e2,f5ae86d6-7b29-42fb-b3b0-3b474b2978f5
0534be99-fc28-4771-a3a1-e45eba963488,6ca59447-c208-40e3-ab57-7edb01549cbf
c1bd108e-5272-4b43-b835-4c840bd17593,1fa3719f-7f49-43d3-9416-c38e10968ac8
c1bd108e-5272-4b43-b835-4c840bd17593,41d62f31-a92e-4ff2-9981-41f3cf46ebeb
e18f432a-a7da-40bf-ae09-1001a5a333b1,6ca59447-c208-40e3-ab57-7edb01549cbf
34282283-e6a3-4f3c-b501-dc058ef9cada,b47cb9fd-b9c9-4d77-916d-93ed0c1a1879
34282283-e6a3-4f3c-b501-dc058ef9cada,ae92de86-1329-4de8-bbcc-f478e9f8628b
e66927aa-dadc-46d2-b810-6c51d2806a0f,6ca59447-c208-40e3-ab57-7edb01549cbf
1cd9c323-d43c-475e-8b05-fb883b6f1a00,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
1cd9c323-d43c-475e-8b05-fb883b6f1a00,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
1cd9c323-d43c-475e-8b05-fb883b6f1a00,69b294ca-7d15-4303-9762-216ec08f824e
52de1cd2-a1b6-42d2-b829-0bf53d918a5d,6ca59447-c208-40e3-ab57-7edb01549cbf
3ab56e47-10fb-4e45-bf59-1eb9f9d25eac,fc1941db-1098-4bd5-a9c7-d9fe8b94172d
3ab56e47-10fb-4e45-bf59-1eb9f9d25eac,d8552976-9336-4818-a952-a6ada26a3006
3ab56e47-10fb-4e45-bf59-1eb9f9d25eac,0a2353ed-3482-4163-9ca4-46e6cf6ab717
a819ca9a-1b94-48fc-8109-eb174af2a3a8,af68b454-0781-4ba1-a037-4444038ef730
7ec69461-fe85-4309-bd72-62f8e86a636a,d89699f6-85db-4def-8de6-14cb07eb2c43
7ec69461-fe85-4309-bd72-62f8e86a636a,6e7ec579-d5fc-41c8-82f1-649532a23cb4
b55b15d4-494b-46b8-8bd7-1429176a3d68,3b16b9a9-28b5-4421-a419-f2c0a580a622
5a1eaa8c-600f-42ec-96b2-4f1d13eafeae,89816960-209a-4338-98c2-15cd395dd76b
6ea5337f-f575-42e2-8d03-664b183f80c5,28408059-9560-428c-be43-378a604ac3e8
bdd9d942-68f6-4071-82e4-dbd50db60a34,41d62f31-a92e-4ff2-9981-41f3cf46ebeb
5057fc84-a55a-4761-a091-22b03cd495af,8d82500d-abce-4859-889f-991e369704e8
8e7d154c-b288-4eab-8e54-13a49d263829,6ca59447-c208-40e3-ab57-7edb01549cbf
99454e59-a77c-4a88-9201-9ad5de81d9aa,d8552976-9336-4818-a952-a6ada26a3006
99454e59-a77c-4a88-9201-9ad5de81d9aa,05155868-5a51-4328-bec7-587f5f081148
d520b814-9892-45c1-8493-14f7e35a59e2,f77c85d9-e35a-426d-a5eb-256816aafe9f
5e4783d5-534e-4bf3-9568-0026b98c7a3c,b1938d90-e95c-4a12-87a3-4e4e3b8b4658
6661aca4-cffa-48dd-a643-913a75045c98,02257903-92fa-4ef4-8ba7-12758b989472
dbdb98d2-1e91-4e16-bfeb-793af8c0c937,1f33d527-6045-4358-afd9-602ae8644b43
dbdb98d2-1e91-4e16-bfeb-793af8c0c937,eddb9f19-4025-4f9a-8d44-a9bf94cb562e
4f9fea2c-451d-4395-8404-ea44b3fb9f22,6ca59447-c208-40e3-ab57-7edb01549cbf
9745400a-990f-492f-89f8-4d4980eeb996,992ae373-a9bc-4ae6-9d74-7082cf0a4c12
9745400a-990f-492f-89f8-4d4980eeb996,6ff9e82a-0eff-4a28-b5c4-68f943508bf2
