id,name,origin,number
ced11455-b5e0-4450-8581-57a1108e2c3b,BRAND118,NO_MAINSTREAM,0
cfca4b92-12a6-411c-a62a-a874d00aa735,BRAND119,MAINSTREAM,0
d0d22dca-1902-45d3-98f5-4130e62056fa,BRAND120,WHOLE_SALE,0
d16b490f-370e-4eeb-ab4f-31c815f60a69,BRAND121,NO_MAINSTREAM,0
d2157f29-32b4-4578-be3f-bfaa77b9d18f,BRAND122,WHOLE_SALE,0
c4d14ff6-043b-4314-b288-04ad5efcb00b,BRAND123,NO_MAINSTREAM,0
bc72be7a-2bd4-44ff-ab0e-e975e4ee9e96,BRAND125,OWN_PRODUCTION,0
d20c36f8-91e8-442f-991b-83d8297ba500,BRAND126,WHOLE_SALE,0
da790000-672a-45a3-9bf9-4805e90d7f19,BRAND127,NO_MAINSTREAM,0
dc63915f-46ee-478e-a76d-5bdc720521c8,BRAND128,NO_MAINSTREAM,0
dcbc39f3-9aca-4f28-9a5c-2ddd04da77d8,BRAND129,WHOLE_SALE,0
dfd310cc-8f71-4c13-8292-9f10d0c800c5,BRAND130,MAINSTREAM,0
e02a9b8d-2a26-46c6-b5c1-0c8b2e4ff4d4,BRAND131,MAINSTREAM,0
e0c5939f-1f3f-44c9-b786-8154fdaa6cac,BRAND132,NO_MAINSTREAM,0
e2b0644a-9365-4b40-a821-2a2266de551d,BRAND133,OWN_PRODUCTION,0
e2ed2d6d-895f-4d78-85f0-60805c02013b,BRAND134,MAINSTREAM,0
a5cec3c7-e486-4940-bda7-a3fa8ea46f9d,BRAND135,WHOLE_SALE,0
841738cf-3a52-4c8b-b73f-ca544bf46487,BRAND136,NO_MAINSTREAM,0
a2061f67-5f9a-4bdf-928f-d0f65adf0496,BRAND137,NO_MAINSTREAM,0
9884297d-e8e2-4e3c-ba61-03e87d6cbd9f,BRAND138,PREMIUM,0
9576c5a9-7aef-4cfd-879c-390cab4fedfc,BRAND139,NO_MAINSTREAM,0
