id,feature_value_id,product_id
3bc3c217-3d2f-473a-9188-10cccf129128,f1cd5317-79a0-4067-abbe-3e9231ac1e57,d0ef8f7b-5a9c-406e-8188-169a612da215
d852eb2c-3ee9-40ab-ba4b-107d41f39029,311e246e-0333-4645-8b48-39d9cdebdb7a,d0ef8f7b-5a9c-406e-8188-169a612da215
cb244168-74db-42de-afa5-0b115e762ac2,c42e949a-06dd-4888-b7be-b73e2c88b541,d0ef8f7b-5a9c-406e-8188-169a612da215
c94bfdc3-0228-44f2-aa95-05749e19f56c,8a558459-f550-418a-a39c-911872f58425,d0ef8f7b-5a9c-406e-8188-169a612da215
2efab66a-04a4-4a90-a080-dfc580daeddf,443b70a1-632b-4ad2-9045-440bcee8f693,d0ef8f7b-5a9c-406e-8188-169a612da215
0238547e-2e08-46c7-831b-aea2d770f68c,ac1736a5-26f0-4860-975d-6d649836bde9,d0ef8f7b-5a9c-406e-8188-169a612da215
3588a551-8555-40d4-910b-d91a1535e54c,0cf27fa8-589c-4db3-95f7-1878935aaff9,d0ef8f7b-5a9c-406e-8188-169a612da215
dbbc66da-ef4c-4b62-8d15-a5a1ed689e0b,a79d5406-ba6d-45d5-99b3-afdb799dbdf1,d0ef8f7b-5a9c-406e-8188-169a612da215
d2d114c0-32c8-451e-8918-c74aa71c252a,fe55631a-727c-46db-ada2-52484f1ca223,d0ef8f7b-5a9c-406e-8188-169a612da215
f1efefa2-6a25-49f1-94d0-e5e33d4124f0,f29b363e-c779-493f-b77f-0b2af0c9a541,d0ef8f7b-5a9c-406e-8188-169a612da215
13692a2b-a5b4-4800-bb53-20b4927d4c0f,9a9e40d3-4765-4cc1-8a8e-3814421cc179,d0ef8f7b-5a9c-406e-8188-169a612da215
8a0dc37c-797b-4e96-820c-2227b2342723,7fbfba36-e78a-4213-9d49-aa081505c018,d0ef8f7b-5a9c-406e-8188-169a612da215
357c06d7-cabe-451b-8290-67b471f66659,dd5ee296-a813-4e43-a2a6-6397d00fb335,d0ef8f7b-5a9c-406e-8188-169a612da215
3f2c89a7-bc87-4210-a97b-e5d6af9373ac,df09f3d5-66e8-4c7a-819a-7a857878ccbf,d0ef8f7b-5a9c-406e-8188-169a612da215
2bf5e0e6-3c5d-45af-8815-82fde5a0ea12,459818a9-e1e8-4700-9bb1-127affa2530f,d0ef8f7b-5a9c-406e-8188-169a612da215
f080b10c-905c-433f-991a-bb38d07971ee,fe86f145-85ba-4c71-a6de-ecf039f2e3dd,d0ef8f7b-5a9c-406e-8188-169a612da215
63310714-2b1e-467d-a00f-acc12b52336d,112de0ae-c423-4861-a9aa-3cd0b4af4f91,d0ef8f7b-5a9c-406e-8188-169a612da215
15f5cef4-33fb-4953-9b5d-a61db476a2f2,489d5d02-0f08-4508-a130-afc7927a93fb,d0ef8f7b-5a9c-406e-8188-169a612da215
9bc7cbba-fc03-474c-9321-a6dd9efbd55d,726a509b-de9a-4f96-8a6b-b714ec8106ef,d0ef8f7b-5a9c-406e-8188-169a612da215
f6983719-a905-4a4a-bc0a-fa5303e7bf95,517436e7-c6b4-440c-a890-f60d3b37c344,d0ef8f7b-5a9c-406e-8188-169a612da215
b800e5bd-f46c-477e-a38e-ceea838fd931,5047e836-1500-4bc7-a431-9dfe025b5335,d0ef8f7b-5a9c-406e-8188-169a612da215
82265179-3cc3-4034-bc0b-5dc427fd7875,abfd5ec0-7eea-4bed-9b2a-3038f387396e,d0ef8f7b-5a9c-406e-8188-169a612da215
82069ccd-f964-4858-908b-160a4226ef2a,4648132e-fc9f-43b5-bda7-ed98083f7a5b,d0ef8f7b-5a9c-406e-8188-169a612da215
49d4366d-114f-4f46-9286-77f2bfed2267,0d0a2d0d-a155-45f3-b1c2-395e09914dfe,d0ef8f7b-5a9c-406e-8188-169a612da215
a52d2503-0d7d-459d-aa94-160196d90022,e50a1d56-9ed2-425b-85b0-fdae2e658dc1,d0ef8f7b-5a9c-406e-8188-169a612da215
4dee8e4f-32c5-474f-a14d-468ef44eb731,efe7f308-023d-40da-9b24-dbad3f6637c3,d0ef8f7b-5a9c-406e-8188-169a612da215
d06795e9-1296-4471-bf1d-93d8381e69dd,fad24348-5665-463a-9b1e-37e62fdf3105,d0ef8f7b-5a9c-406e-8188-169a612da215
ee2c3a13-b699-49ca-ae13-c514de418d50,703f56c0-2874-421f-9ddd-ec16e5615045,d0ef8f7b-5a9c-406e-8188-169a612da215
2b435672-ab9a-4fb2-924b-b63b9b4ec7d9,faf369b9-2c53-4642-aece-6a5759523a67,d0ef8f7b-5a9c-406e-8188-169a612da215
b39f89ba-8305-40d0-bef9-82cc727f5933,6b126432-eece-42d1-8a61-b920420e55b3,d0f18765-3228-4665-b340-64986083b4c6
e624e001-58a5-4ff2-b413-0e55272827e8,ce6e47a0-d3bd-417f-b6ee-1216838f6902,d0f18765-3228-4665-b340-64986083b4c6
af7b7fb2-375a-4464-b9e3-e45a2f56996d,4ba2c557-cc92-4d3f-ac48-7cd334babbf4,d0f18765-3228-4665-b340-64986083b4c6
3422a98a-de6b-41f6-9add-5890d4adf141,4718509d-8af9-45c7-9360-a05678861270,d0f18765-3228-4665-b340-64986083b4c6
ee4ca2a3-0e82-4677-9220-6ed0fe721871,311e246e-0333-4645-8b48-39d9cdebdb7a,d0f18765-3228-4665-b340-64986083b4c6
3e7ca9a8-86b2-429d-9382-c1a6fbc1ddfb,8a558459-f550-418a-a39c-911872f58425,d0f18765-3228-4665-b340-64986083b4c6
2feefb59-f08b-422a-a29a-bc96735d4255,443b70a1-632b-4ad2-9045-440bcee8f693,d0f18765-3228-4665-b340-64986083b4c6
2cbb83a7-efc4-4312-a655-22ae15e81e97,877425b0-3bed-4c99-97de-09a53c508058,d0f18765-3228-4665-b340-64986083b4c6
22e8c3a1-6ac6-442f-9dc8-81ae634cc95f,b8c1da56-e7f6-45e4-9889-b2664585511e,d0f18765-3228-4665-b340-64986083b4c6
b91f70fa-4a6a-4593-bcd2-c7ac862278dd,0c8eb4ab-885a-4373-bad8-ce8cb1109189,d0f18765-3228-4665-b340-64986083b4c6
0e301548-5457-483d-925e-99f3e9973103,a1232fff-cee2-4fdf-88eb-c92b4fc0590a,d0f18765-3228-4665-b340-64986083b4c6
7f31b1df-620f-42a0-871a-b3381d0852ee,bc45fe05-ee0c-48c8-8931-1d4888169734,d0f18765-3228-4665-b340-64986083b4c6
e4825abf-5a69-4ac0-a0ba-e1493932e86f,c3920fd8-b911-4e11-97d4-96e7294b4098,d0f18765-3228-4665-b340-64986083b4c6
11076c28-87c0-4a1a-a263-edde2afb7d9c,b17763a3-cd0e-4eeb-9376-11bfc4404370,d0f18765-3228-4665-b340-64986083b4c6
1ce1e9ba-e9cc-4cf5-a072-9b56a93f9e61,9a9e40d3-4765-4cc1-8a8e-3814421cc179,d0f18765-3228-4665-b340-64986083b4c6
9339001e-f428-4c42-9246-23cb5f948797,dd5ee296-a813-4e43-a2a6-6397d00fb335,d0f18765-3228-4665-b340-64986083b4c6
59f1909c-0aa9-409a-9885-0d60cf3db185,0d1261bf-4cd4-4625-9175-dd2db2d2c6f6,d0f18765-3228-4665-b340-64986083b4c6
4cb6a8a1-397a-4205-ab96-a8c1fcad413a,459818a9-e1e8-4700-9bb1-127affa2530f,d0f18765-3228-4665-b340-64986083b4c6
d6e90171-7941-4591-a399-5a163f8a3091,fe86f145-85ba-4c71-a6de-ecf039f2e3dd,d0f18765-3228-4665-b340-64986083b4c6
89ed181e-c1d0-4c8b-8518-6838b648be62,3b41403a-deb3-4d3e-9547-e276fb248019,d0f18765-3228-4665-b340-64986083b4c6
b31ab532-ac08-42d1-8b21-d69fca2b9bf9,112de0ae-c423-4861-a9aa-3cd0b4af4f91,d0f18765-3228-4665-b340-64986083b4c6
9b08c3da-430a-4241-ae17-f3327577e1cf,e3acee86-532e-4d6b-8df1-c705512ec25e,d0f18765-3228-4665-b340-64986083b4c6
b1119b35-3708-4c91-8fef-217c548d159e,cbf9a9a7-3cec-495c-8ce8-85ef88954ef5,d0f18765-3228-4665-b340-64986083b4c6
